variable,tipo,n_faltantes,pct_faltantes,mecanismo_sugerido,accion_recomendada
paciente_id,string,0,0.0,sin_faltantes,ninguna
fecha_control,datetime,0,0.0,sin_faltantes,ninguna
edad,int,0,0.0,sin_faltantes,ninguna
sexo,categorica,0,0.0,sin_faltantes,ninguna
anios_diagnostico,float,0,0.0,sin_faltantes,ninguna
hba1c,float,0,0.0,sin_faltantes,ninguna
glucosa_ayunas,float,0,0.0,sin_faltantes,ninguna
presion_sistolica,int,0,0.0,sin_faltantes,ninguna
presion_diastolica,int,0,0.0,sin_faltantes,ninguna
peso_kg,float,0,0.0,sin_faltantes,ninguna
talla_cm,float,0,0.0,sin_faltantes,ninguna
imc,float,0,0.0,sin_faltantes,ninguna
colesterol_ldl,float,0,0.0,sin_faltantes,ninguna
funcion_renal_egfr,float,0,0.0,sin_faltantes,ninguna
adherencia_tratamiento,float,0,0.0,sin_faltantes,ninguna
num_medicamentos,int,0,0.0,sin_faltantes,ninguna
hospitalizacion_previa_12m,bool,0,0.0,sin_faltantes,ninguna
